CVE_ENT,CVE_MUN,CVEGEO,NOMGEO,nom_reg,num_reg,COUNT
"15","001","15001",Acambay de Ru�z Casta�eda,Atlacomulco,II,"1"
"15","002","15002",Acolman,Texcoco,XV,"3"
"15","003","15003",Aculco,Atlacomulco,II,"1"
"15","004","15004",Almoloya de Alquisiras,Tejupilco,XII,"2"
"15","005","15005",Almoloya de Ju�rez,Valle de Bravo,XIX,"3"
"15","006","15006",Almoloya del R�o,Lerma,VII,"2"
"15","007","15007",Amanalco,Valle de Bravo,XIX,"2"
"15","008","15008",Amatepec,Tejupilco,XII,"1"
"15","009","15009",Amecameca,Amecameca,I,"1"
"15","010","15010",Apaxco,Zumpango,XX,"1"
"15","011","15011",Atenco,Texcoco,XV,"3"
"15","013","15013",Atizap�n de Zaragoza,Naucalpan,IX,"3"
"15","014","15014",Atlacomulco,Atlacomulco,II,"1"
"15","015","15015",Atlautla,Amecameca,I,"1"
"15","016","15016",Axapusco,Otumba,XI,"1"
"15","017","15017",Ayapango,Amecameca,I,"1"
"15","019","15019",Capulhuac,Lerma,VII,"1"
"15","020","15020",Coacalco de Berrioz�bal,Tultitlán,XVIII,"2"
"15","021","15021",Coatepec Harinas,Tejupilco,XII,"4"
"15","022","15022",Cocotitl�n,Amecameca,I,"1"
"15","023","15023",Coyotepec,Tepotzotlán,XIV,"2"
"15","024","15024",Cuautitl�n,Tepotzotlán,XIV,"4"
"15","025","15025",Chalco,Amecameca,I,"2"
"15","026","15026",Chapa de Mota,Atlacomulco,II,"1"
"15","028","15028",Chiautla,Texcoco,XV,"2"
"15","029","15029",Chicoloapan,Texcoco,XV,"2"
"15","030","15030",Chiconcuac,Texcoco,XV,"1"
"15","031","15031",Chimalhuac�n,Texcoco,XV,"3"
"15","032","15032",Donato Guerra,Valle de Bravo,XIX,"1"
"15","033","15033",Ecatepec de Morelos,Texcoco,XV,"7"
"15","034","15034",Ecatzingo,Amecameca,I,"1"
"15","035","15035",Huehuetoca,Tepotzotlán,XIV,"2"
"15","036","15036",Hueypoxtla,Zumpango,XX,"1"
"15","037","15037",Huixquilucan,Naucalpan,IX,"2"
"15","038","15038",Isidro Fabela,Naucalpan,IX,"3"
"15","039","15039",Ixtapaluca,Texcoco,XV,"3"
"15","040","15040",Ixtapan de la Sal,Tejupilco,XII,"1"
"15","041","15041",Ixtapan del Oro,Valle de Bravo,XIX,"1"
"15","042","15042",Ixtlahuaca,Ixtlahuaca,VI,"2"
"15","043","15043",Xalatlaco,Lerma,VII,"2"
"15","044","15044",Jaltenco,Tepotzotlán,XIV,"3"
"15","045","15045",Jilotepec,Atlacomulco,II,"1"
