CVE_ENT,CVE_MUN,mun_code,NOMGEO,num,region,pop2015,pop2016,pop2017,pop2018,pop2019
15,9,15009,Amecameca,I,Chalco,51682,52267,52881,53514,54157
15,15,15015,Atlautla,I,Chalco,31435,31962,32475,32978,33469
15,17,15017,Ayapango,I,Chalco,10975,11226,11454,11665,11863
15,25,15025,Chalco,I,Chalco,361798,368876,375674,382238,388603
15,22,15022,Cocotitlán,I,Chalco,12924,13057,13196,13339,13484
15,34,15034,Ecatzingo,I,Chalco,10554,10734,10915,11095,11275
15,50,15050,Juchitepec,I,Chalco,26331,26743,27150,27552,27949
15,68,15068,Ozumba,I,Chalco,30693,31180,31655,32120,32576
15,83,15083,Temamatla,I,Chalco,12504,12703,12902,13100,13297
15,89,15089,Tenango del Aire,I,Chalco,11911,12096,12276,12452,12625
15,94,15094,Tepetlixpa,I,Chalco,20284,20568,20848,21125,21397
15,103,15103,Tlalmanalco,I,Chalco,50351,50980,51612,52242,52867
15,122,15122,Valle de Chalco Solidaridad,I,Chalco,395622,401701,407803,413892,419935
15,1,15001,Acambay de Ruíz Castañeda,IV,El oro,66572,67495,68446,69418,70404
15,3,15003,Aculco,VI,Jilotepec,49789,50549,51313,52080,52847
15,14,15014,Atlacomulco,IV,El oro,108824,110932,112970,114949,116881
15,26,15026,Chapa de Mota,VI,Jilotepec,32547,33209,33839,34445,35030
15,64,15064,El Oro,IV,El oro,12075,12146,12210,12270,12323
15,45,15045,Jilotepec,VI,Jilotepec,95930,97606,99230,100808,102347
15,48,15048,Jocotitlán,V,Ixtlahuaca,68182,69208,70227,71237,72238
15,56,15056,Morelos,V,Ixtlahuaca,8916,9022,9127,9230,9332
15,71,15071,Polotitlán,VI,Jilotepec,14156,14330,14505,14681,14856
15,124,15124,San José del Rincón,IV,El oro,101878,103572,105308,107082,108893
15,79,15079,Soyaniquilpan de Juárez,VI,Jilotepec,13081,13267,13450,13630,13808
15,85,15085,Temascalcingo,IV,El oro,68840,69810,70797,71798,72807
15,102,15102,Timilpan,VI,Jilotepec,16882,17108,17336,17565,17795
15,112,15112,Villa del Carbón,VI,Jilotepec,50351,51171,51990,52808,53623
15,29,15029,Chicoloapan,XIV,Texcoco,189077,191523,194047,196624,199228
15,31,15031,Chimalhuacán,VIII,Nezahualcóyotl,704538,717541,730235,742659,754833
15,39,15039,Ixtapaluca,I,Chalco,521001,529220,537421,545581,553673
15,70,15070,La Paz,VIII,Nezahualcóyotl,290288,297804,305455,313204,321017
15,13,15013,Atizapán de Zaragoza,XV,Tlalnepantla,535435,542150,548809,555364,561776
15,121,15121,Cuautitlán Izcalli,II,Cuautitlán,556454,563090,569690,576197,582568
15,60,15060,Nicolás Romero,XV,Tlalnepantla,425137,432900,440281,447341,454124
