CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,_pop2018,_pop2019,POP2019,region,CLUSTER_ID,reg_pob,,,,,,,,
15013,15,13,Atizapán de Zaragoza,555364,561776,561776,121,6,5401537,,,,,,,,
15062,15,62,Ocoyoacac,73207,74222,74222,88,3,1149573,,,,,,,,
15055,15,55,Mexicaltzingo,14053,14267,14267,30,3,1149573,,,,,,,,
15065,15,65,Otumba,40556,41126,41126,75,1,5410318,,,,,,,,
15064,15,64,El Oro,12270,12323,12323,7,2,533840,,,,,,,,
15122,15,122,Valle de Chalco Solidaridad,413892,419935,419935,117,5,1968187,,,,,,,,
15068,15,68,Ozumba,32120,32576,32576,52,5,1968187,,,,,,,,
15020,15,20,Coacalco de Berriozábal,304640,307871,307871,103,6,5401537,,,,,,,,
15034,15,34,Ecatzingo,11095,11275,11275,9,5,1968187,,,,,,,,
15120,15,120,Zumpango,198245,201428,201428,105,6,5401537,,,,,,,,
15094,15,94,Tepetlixpa,21125,21397,21397,21,5,1968187,,,,,,,,
15080,15,80,Sultepec,28599,28973,28973,43,7,343971,,,,,,,,
15119,15,119,Zumpahuacán,18148,18407,18407,27,7,343971,,,,,,,,
15026,15,26,Chapa de Mota,34445,35030,35030,51,9,316419,,,,,,,,
15048,15,48,Jocotitlán,71237,72238,72238,92,2,533840,,,,,,,,
15004,15,4,Almoloya de Alquisiras,16737,16968,16968,26,7,343971,,,,,,,,
15039,15,39,Ixtapaluca,545581,553673,553673,122,5,1968187,,,,,,,,
15115,15,115,Xonacatlán,51509,52158,52158,64,3,1149573,,,,,,,,
15021,15,21,Coatepec Harinas,42341,42990,42990,73,7,343971,,,,,,,,
15081,15,81,Tecámac,472126,480181,480181,115,1,5410318,,,,,,,,
15089,15,89,Tenango del Aire,12452,12625,12625,6,5,1968187,,,,,,,,
15045,15,45,Jilotepec,100808,102347,102347,84,9,316419,,,,,,,,
15084,15,84,Temascalapa,41389,41937,41937,77,1,5410318,,,,,,,,
15025,15,25,Chalco,382238,388603,388603,118,5,1968187,,,,,,,,
15113,15,113,Villa Guerrero,6023,6059,6059,18,7,343971,,,,,,,,
15052,15,52,Malinalco,29699,30102,30102,41,7,343971,,,,,,,,
15037,15,37,Huixquilucan,280775,284436,284436,101,3,1149573,,,,,,,,
15030,15,30,Chiconcuac,27280,27679,27679,45,1,5410318,,,,,,,,
15044,15,44,Jaltenco,29099,29432,29432,44,6,5401537,,,,,,,,
