num,region,ordendelitos,Delitos,ene2015,feb2015,mar2015,abr2015,may2015,jun2015,jul2015,ago2015,sep2015,oct2015,nov2015,dic2015,ene2016,feb2016,mar2016,abr2016,may2016,jun2016,jul2016,ago2016,sep2016,oct2016,nov2016,dic2016,ene2017,feb2017,mar2017,abr2017,may2017,jun2017,jul2017,ago2017,sep2017,oct2017,nov2017,dic2017,ene2018,feb2018,mar2018,abr2018,may2018,jun2018,jul2018,ago2018,sep2018,oct2018,nov2018,dic2018,ene2019,feb2019,mar2019,abr2019,may2019,jun2019,jul2019,ago2019,sep2019,oct2019,nov2019,dic2019
1,I,1,Homicidio doloso,6.0,6.0,4.0,6.0,6.0,7.0,6.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,6.0,4.0,12.0,5.0,7.0,3.0,4.0,3.0,6.0,3.0,8.0,6.0,4.0,5.0,6.0,0.0,3.0,2.0,4.0,0.0,5.0,4.0,3.0,5.0,4.0,8.0,4.0,3.0,9.0,4.0,8.0,6.0,9.0,6.0,6.0,11.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1,I,2,Feminicidio,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,I,3,Homicidio culposo,5.0,3.0,4.0,4.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,5.0,0.0,4.0,3.0,0.0,0.0,1.0,2.0,5.0,3.0,3.0,2.0,4.0,7.0,2.0,5.0,1.0,6.0,5.0,4.0,3.0,7.0,4.0,5.0,4.0,4.0,5.0,1.0,5.0,3.0,4.0,1.0,2.0,9.0,2.0,0.0,2.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1,I,4,Secuestro,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,I,5,Extorsión,1.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,4.0,0.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,4.0,6.0,6.0,9.0,6.0,5.0,2.0,2.0,3.0,1.0,3.0,2.0,5.0,1.0,6.0,5.0,10.0,4.0,7.0,7.0,5.0,4.0,3.0,5.0,7.0,6.0,3.0,2.0,4.0,9.0,10.0,9.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1,I,6,Robo con violencia,68.0,57.0,57.0,61.0,67.0,75.0,56.0,63.0,61.0,64.0,60.0,64.0,46.0,41.0,49.0,37.0,43.0,19.0,33.0,41.0,59.0,47.0,56.0,76.0,71.0,55.0,61.0,62.0,56.0,94.0,106.0,89.0,88.0,109.0,78.0,76.0,81.0,73.0,65.0,53.0,81.0,63.0,58.0,65.0,90.0,82.0,61.0,68.0,90.0,79.0,61.0,56.0,57.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
1,I,7,Robo de vehículo,59.0,47.0,34.0,55.0,59.0,70.0,50.0,59.0,60.0,50.0,62.0,48.0,33.0,55.0,56.0,49.0,65.0,11.0,39.0,44.0,59.0,40.0,37.0,75.0,52.0,55.0,70.0,52.0,46.0,61.0,86.0,91.0,72.0,99.0,68.0,84.0,87.0,90.0,88.0,68.0,90.0,65.0,73.0,54.0,74.0,70.0,60.0,69.0,94.0,70.0,75.0,66.0,75.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
1,I,8,Robo a casa habitación,55.0,43.0,50.0,56.0,27.0,54.0,40.0,60.0,53.0,53.0,52.0,49.0,30.0,28.0,32.0,24.0,18.0,15.0,22.0,38.0,38.0,33.0,26.0,24.0,33.0,32.0,26.0,29.0,48.0,36.0,44.0,34.0,36.0,50.0,41.0,29.0,48.0,26.0,21.0,30.0,34.0,35.0,43.0,41.0,38.0,23.0,32.0,48.0,28.0,31.0,43.0,31.0,45.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
1,I,9,Robo de negocio,11.0,10.0,13.0,9.0,9.0,6.0,4.0,9.0,9.0,7.0,5.0,13.0,6.0,6.0,7.0,6.0,6.0,1.0,4.0,0.0,8.0,5.0,10.0,10.0,12.0,10.0,14.0,11.0,14.0,13.0,21.0,13.0,6.0,10.0,7.0,6.0,7.0,8.0,9.0,18.0,11.0,7.0,6.0,13.0,6.0,19.0,10.0,9.0,9.0,13.0,13.0,11.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
1,I,10,Robo a transeúnte total,65.0,35.0,42.0,44.0,56.0,57.0,46.0,57.0,41.0,42.0,34.0,39.0,35.0,26.0,30.0,25.0,29.0,12.0,15.0,27.0,33.0,27.0,34.0,47.0,32.0,29.0,37.0,38.0,34.0,59.0,51.0,40.0,50.0,60.0,56.0,32.0,34.0,32.0,28.0,21.0,35.0,34.0,31.0,38.0,37.0,43.0,31.0,38.0,34.0,20.0,22.0,19.0,28.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
